feature,importance
cat__Sex_female,0.2659181601725011
cat__Sex_male,0.24454726365290616
cat__Title_Mr,0.22468491016785497
cat__Title_Miss,0.09949646071677229
cat__Title_Mrs,0.06791661385696039
num__Fare,0.01825116409153888
num__FamilySize,0.011274401125525307
num__Age,0.009962226176988009
num__IsAlone,0.009861826469357585
cat__Title_Master,0.009291724956562032
num__Parch,0.0075930526306975474
num__Pclass,0.00580657285523323
num__SibSp,0.00401722509448398
cat__Deck_B,0.003694594088069301
cat__Embarked_Q,0.0034399489619694554
cat__Deck_U,0.003336719007579941
cat__Embarked_S,0.002616107027997646
cat__Deck_C,0.001985411433665459
cat__TicketPrefix_PC,0.001590700496632224
cat__Embarked_C,0.0012208452691002446
cat__TicketPrefix_NONE,0.0007855630567736205
cat__TicketPrefix_C,0.0005538628962924728
cat__TicketPrefix_SC,0.0005183025928654967
cat__Title_Rare,0.0005163481490068713
cat__Deck_E,0.0002681828945477805
cat__Deck_F,0.00022559603166831486
cat__Deck_D,0.00019067652338161233
cat__TicketPrefix_F,0.0001871914668827243
cat__TicketPrefix_A,9.924787285869132e-05
cat__Deck_A,8.037644459088555e-05
cat__TicketPrefix_S,4.666108778016524e-05
cat__TicketPrefix_SOTON,2.206273095576729e-05
cat__TicketPrefix_STON,0.0
cat__TicketPrefix_CA,0.0
cat__TicketPrefix_PP,0.0
cat__TicketPrefix_LP,0.0
cat__TicketPrefix_AQ,0.0
cat__Deck_G,0.0
cat__TicketPrefix_W,0.0
